# Wed Oct 17 13:43:25 2012 parity.pl 128 4 31
10,1,0,5,10,1,0,5,0
10,1,0,5,10,1,0,5,1
10,0,7,5,10,0,7,5,3
10,1,0,5,10,1,0,5,2
10,1,3,5,10,1,3,5,3
10,0,0,5,10,0,0,5,3
10,0,0,5,10,0,0,5,0
10,1,4,5,10,1,4,5,0
10,1,7,5,10,1,7,5,3
10,0,0,5,10,0,0,5,0
10,0,8,5,10,0,8,5,0
10,1,0,5,10,1,0,5,3
10,0,0,5,10,0,0,5,3
10,0,6,5,10,0,6,5,2
10,1,6,5,10,1,6,5,2
10,0,5,5,10,0,5,5,1
10,1,1,5,10,1,1,5,1
10,0,9,5,10,0,9,5,1
10,1,0,5,10,1,0,5,2
10,0,0,5,10,0,0,5,2
10,0,3,5,10,0,3,5,3
10,1,2,5,10,1,2,5,2
10,0,0,5,10,0,0,5,2
10,0,4,5,10,0,4,5,0
10,0,1,5,10,0,1,5,1
10,1,5,5,10,1,5,5,1
10,1,0,5,10,1,0,5,0
10,1,8,5,10,1,8,5,0
10,0,2,5,10,0,2,5,2
10,0,0,5,10,0,0,5,1
10,1,9,5,10,1,9,5,1
